net,test case,ground truth,your output,your runtime,your point
fc_base,img0_mnist_0.0020.txt,not verified,timeout (not verified),60,0
fc_base,img1_mnist_0.0078.txt,not verified,timeout (not verified),60,0
fc_base,img2_mnist_0.0300.txt,not verified,timeout (not verified),60,0
fc_base,img3_mnist_0.0936.txt,verified,verified,1.411,1
fc_base,img4_mnist_0.0955.txt,verified,verified,1.44,1
fc_1,img0_mnist_0.0127.txt,not verified,timeout (not verified),60,0
fc_1,img1_mnist_0.0373.txt,not verified,timeout (not verified),60,0
fc_1,img2_mnist_0.0424.txt,not verified,timeout (not verified),60,0
fc_1,img3_mnist_0.0075.txt,verified,verified,1.898,1
fc_1,img4_mnist_0.0349.txt,verified,verified,1.792,1
fc_1,img5_mnist_0.1110.txt,verified,verified,1.849,1
fc_1,img6_mnist_0.0419.txt,verified,verified,1.717,1
fc_1,img7_mnist_0.0915.txt,verified,verified,1.87,1
fc_1,img8_mnist_0.0444.txt,verified,verified,1.648,1
fc_1,img9_mnist_0.0693.txt,verified,verified,2.076,1
fc_2,img0_mnist_0.0541.txt,not verified,timeout (not verified),60,0
fc_2,img1_mnist_0.0717.txt,not verified,timeout (not verified),60,0
fc_2,img2_mnist_0.0908.txt,not verified,timeout (not verified),60,0
fc_2,img3_mnist_0.0031.txt,verified,verified,1.302,1
fc_2,img4_mnist_0.0540.txt,verified,verified,1.463,1
fc_2,img5_mnist_0.0392.txt,verified,verified,1.588,1
fc_2,img6_mnist_0.0563.txt,verified,verified,1.219,1
fc_2,img7_mnist_0.0843.txt,verified,verified,1.52,1
fc_2,img8_mnist_0.0750.txt,verified,verified,8.888,1
fc_2,img9_mnist_0.0618.txt,verified,verified,4.263,1
fc_3,img0_mnist_0.0236.txt,not verified,timeout (not verified),60,0
fc_3,img1_mnist_0.0297.txt,not verified,timeout (not verified),60,0
fc_3,img2_mnist_0.0615.txt,not verified,timeout (not verified),60,0
fc_3,img3_mnist_0.0019.txt,verified,verified,1.254,1
fc_3,img4_mnist_0.0621.txt,verified,verified,1.634,1
fc_3,img5_mnist_0.0442.txt,verified,verified,1.862,1
fc_3,img6_mnist_0.0569.txt,verified,verified,1.551,1
fc_3,img7_mnist_0.0749.txt,verified,verified,1.663,1
fc_3,img8_mnist_0.0751.txt,verified,verified,2.103,1
fc_3,img9_mnist_0.0785.txt,verified,verified,47.842,1
fc_4,img0_mnist_0.1132.txt,not verified,timeout (not verified),60,0
fc_4,img1_mnist_0.1139.txt,not verified,timeout (not verified),60,0
fc_4,img2_mnist_0.1164.txt,not verified,timeout (not verified),60,0
fc_4,img3_mnist_0.0014.txt,verified,verified,1.467,1
fc_4,img4_mnist_0.0552.txt,verified,verified,1.786,1
fc_4,img5_mnist_0.0600.txt,verified,verified,1.332,1
fc_4,img6_mnist_0.0776.txt,verified,verified,1.358,1
fc_4,img7_mnist_0.0566.txt,verified,verified,1.213,1
fc_4,img8_mnist_0.0894.txt,verified,verified,1.368,1
fc_4,img9_mnist_0.0814.txt,verified,verified,1.562,1
fc_5,img0_mnist_0.0336.txt,not verified,timeout (not verified),60,0
fc_5,img1_mnist_0.0772.txt,not verified,timeout (not verified),60,0
fc_5,img2_mnist_0.1475.txt,not verified,timeout (not verified),60,0
fc_5,img3_mnist_0.0014.txt,verified,verified,1.268,1
fc_5,img4_mnist_0.0745.txt,verified,verified,1.232,1
fc_5,img5_mnist_0.1012.txt,verified,verified,1.219,1
fc_5,img6_mnist_0.0946.txt,verified,verified,1.243,1
fc_5,img7_mnist_0.1009.txt,verified,verified,1.288,1
fc_5,img8_mnist_0.1020.txt,verified,verified,20.722,1
fc_5,img9_mnist_0.1198.txt,verified,timeout (not verified),60,0
fc_6,img0_mnist_0.0142.txt,not verified,timeout (not verified),60,0
fc_6,img1_mnist_0.0269.txt,not verified,timeout (not verified),60,0
fc_6,img2_mnist_0.0386.txt,not verified,timeout (not verified),60,0
fc_6,img3_mnist_0.0040.txt,verified,verified,1.331,1
fc_6,img4_mnist_0.0619.txt,verified,verified,1.328,1
fc_6,img5_mnist_0.0458.txt,verified,verified,1.315,1
fc_6,img6_mnist_0.0348.txt,verified,verified,1.342,1
fc_6,img7_mnist_0.0261.txt,verified,verified,1.337,1
fc_6,img8_mnist_0.0316.txt,verified,verified,50.282,1
fc_6,img9_mnist_0.0356.txt,verified,verified,1.981,1
fc_6,img0_cifar10_0.0019.txt,not verified,timeout (not verified),60,0
fc_6,img1_cifar10_0.0026.txt,not verified,timeout (not verified),60,0
fc_6,img2_cifar10_0.0029.txt,not verified,timeout (not verified),60,0
fc_6,img3_cifar10_0.0051.txt,not verified,timeout (not verified),60,0
fc_6,img4_cifar10_0.0038.txt,verified,verified,1.437,1
fc_6,img5_cifar10_0.0029.txt,verified,verified,1.417,1
fc_6,img6_cifar10_0.0071.txt,verified,verified,1.396,1
fc_6,img7_cifar10_0.0059.txt,verified,verified,1.421,1
fc_6,img8_cifar10_0.0029.txt,verified,verified,1.436,1
fc_6,img9_cifar10_0.0052.txt,verified,verified,1.398,1
fc_7,img0_mnist_0.0598.txt,not verified,timeout (not verified),60,0
fc_7,img1_mnist_0.0670.txt,not verified,timeout (not verified),60,0
fc_7,img2_mnist_0.0677.txt,not verified,timeout (not verified),60,0
fc_7,img3_mnist_0.0700.txt,verified,verified,1.469,1
fc_7,img4_mnist_0.0571.txt,verified,verified,1.462,1
fc_7,img5_mnist_0.0551.txt,verified,verified,1.444,1
fc_7,img6_mnist_0.0565.txt,verified,verified,1.441,1
fc_7,img7_mnist_0.0521.txt,verified,verified,1.535,1
fc_7,img8_mnist_0.0744.txt,verified,timeout (not verified),60,0
fc_7,img9_mnist_0.0777.txt,verified,timeout (not verified),60,0
conv_base,img0_mnist_0.0770.txt,not verified,timeout (not verified),60,0
conv_base,img1_mnist_0.1146.txt,not verified,timeout (not verified),60,0
conv_base,img2_mnist_0.1222.txt,not verified,timeout (not verified),60,0
conv_base,img3_mnist_0.1375.txt,verified,verified,2.474,1
conv_base,img4_mnist_0.1163.txt,verified,verified,2.476,1
conv_1,img0_mnist_0.1671.txt,not verified,timeout (not verified),60,0
conv_1,img1_mnist_0.1796.txt,not verified,timeout (not verified),60,0
conv_1,img2_mnist_0.1829.txt,not verified,timeout (not verified),60,0
conv_1,img3_mnist_0.0181.txt,verified,verified,3.169,1
conv_1,img4_mnist_0.1120.txt,verified,verified,3.164,1
conv_1,img5_mnist_0.1049.txt,verified,verified,3.154,1
conv_1,img6_mnist_0.1120.txt,verified,verified,3.17,1
conv_1,img7_mnist_0.1120.txt,verified,verified,3.172,1
conv_1,img8_mnist_0.1272.txt,verified,verified,3.157,1
conv_1,img9_mnist_0.1306.txt,verified,verified,3.199,1
conv_2,img0_mnist_0.1211.txt,not verified,timeout (not verified),60,0
conv_2,img1_mnist_0.1560.txt,not verified,timeout (not verified),60,0
conv_2,img2_mnist_0.1831.txt,not verified,timeout (not verified),60,0
conv_2,img3_mnist_0.0095.txt,verified,verified,8.944,1
conv_2,img4_mnist_0.0974.txt,verified,verified,8.678,1
conv_2,img5_mnist_0.1424.txt,verified,verified,8.484,1
conv_2,img6_mnist_0.1284.txt,verified,verified,8.447,1
conv_2,img7_mnist_0.1582.txt,verified,verified,8.601,1
conv_2,img8_mnist_0.1709.txt,verified,timeout (not verified),60,0
conv_2,img9_mnist_0.1668.txt,verified,timeout (not verified),60,0
conv_3,img0_cifar10_0.0016.txt,not verified,timeout (not verified),60,0
conv_3,img1_cifar10_0.0085.txt,not verified,timeout (not verified),60,0
conv_3,img2_cifar10_0.0153.txt,not verified,timeout (not verified),60,0
conv_3,img3_cifar10_0.0221.txt,not verified,timeout (not verified),60,0
conv_3,img4_cifar10_0.0133.txt,verified,verified,27.487,1
conv_3,img5_cifar10_0.0151.txt,verified,verified,27.224,1
conv_3,img6_cifar10_0.0133.txt,verified,verified,27.357,1
conv_3,img7_cifar10_0.0124.txt,verified,verified,27.171,1
